,name,function,chain,date
1881,INFINITE SPACE,Honeypot,BSC,
1882,INFINITE SPACE,Honeypot,BSC,
1883,PAIRS,Honeypot,BSC,
1884,PHOENIXTOKEN,Honeypot,BSC,
1885,Rocket Man,Honeypot,BSC,
1886,India Pale Ale,Honeypot,BSC,
1887,Dfyn.Network,Honeypot,ETH,
1888,PIethori,Honeypot,ETH,
1889,Benefit Protocol,Honeypot,ETH,
1890,LOCGame,Honeypot,ETH,
1891,Mercurial.Finance,Honeypot,ETH,
1892,BondAppetit,Honeypot,BSC,
1893,TurboScalling,Honeypot,BSC,
1894,SafeDelore3n,Honeypot,BSC,
1895,SafeSound,Honeypot,BSC,
1896,Stone Token,Honeypot,ETH,
1897,dajal,Honeypot,BSC,
1898,SafeShill,Honeypot,BSC,
1899,Force Dao,Honeypot,ETH,
1900,SAFEGUARD,Honeypot,BSC,
1901,SafePegasus,Honeypot,BSC,
1902,EssentialChain,Honeypot,BSC,
1903,SafeShift,Honeypot,BSC,
1904,HighQuality Swap,Honeypot,BSC,
1905,SafeStarship,Honeypot,BSC,
1906,AntiSocialClub,Honeypot,BSC,
1907,SecurityLayer,Honeypot,BSC,
1908,FULLSAFE,Honeypot,BSC,
1909,REEF,Honeypot,BSC,
1910,BurnMEW,Honeypot,BSC,
1911,SafeAsteroid,Honeypot,BSC,
1912,FINANCE,Honeypot,BSC,
1913,OMNI,Honeypot,BSC,
1914,NextGEN,Honeypot,BSC,
1915,BlackHoleNetwork,Honeypot,BSC,
1916,DoubleTRACE,Honeypot,BSC,
1917,SafeSilent,Honeypot,BSC,
1918,Critter Finance,Honeypot,BSC,
1919,Safezone,Honeypot,BSC,
1920,AntiSafeToken,Honeypot,BSC,
1921,SAFEMOON,Honeypot,BSC,
1922,Impulse,Honeypot,BSC,
1923,MetaChain,Honeypot,BSC,
1924,STONES Token,Honeypot,BSC,
1925,SafeCow,Honeypot,BSC,
1926,Tidal Token,Honeypot,BSC,
1927,Tamagochi Finance,Honeypot,BSC,
1928,BLOWNETWORK,Honeypot,BSC,
1929,DipEater Token,Honeypot,BSC,
1930,DoubleDEX,Honeypot,BSC,
1931,Nintendo Protocol,Honeypot,BSC,
1932,ADRENALINE.FINANCE,Honeypot,BSC,
1933,RfiSPR,Honeypot,BSC,
1934,TomCoin,Honeypot,BSC,
1935,Convergence Protocol,Honeypot,ETH,
1936,ApplePie,Honeypot,BSC,
1937,Uniswap-V3,Honeypot,ETH,
1938,Mina Protocol,Honeypot,ETH,
1939,PROTOCOL PENA,Honeypot,BSC,
1940,SafeSushi,Honeypot,BSC,
1941,GEMCORE,Honeypot,BSC,
1942,MOON FARM,Honeypot,BSC,
1943,Hoge Finance v2,Honeypot,BSC,
1944,Hoe Coin BSC,Honeypot,BSC,
1945,Yield Goku Token,Honeypot,BSC,
1946,Dextrarius Token,Honeypot,BSC,
1947,Zillow,Honeypot,ETH,
1948,Boson Protocol,Honeypot,ETH,
1949,Stonedefi.io,Honeypot,ETH,
1950,MinerClubHM,Honeypot,BSC,
1951,Casper Network,Honeypot,ETH,
1952,E=MCv2,Honeypot,BSC,
1953,NFT Farm,Honeypot,BSC,
1954,SonicSwap,Honeypot,BSC,
1955,MPIG,Honeypot,BSC,
1956,PepeDog,Honeypot,BSC,
1957,CURLYPUFF,Honeypot,BSC,
1958,Goku Token,Honeypot,BSC,
1959,LamboPUMP,Honeypot,BSC,
1960,Echelon DAO,Honeypot,BSC,
1961,Turtledex Token,Exit Scam,BSC,
1962,ONYX,Honeypot,BSC,
1963,Beagle,Honeypot,BSC,
1964,RFI Protocol,Honeypot,BSC,
1965,ThenaMoon,Honeypot,BSC,
1966,BSCcommunity,Honeypot,BSC,
1967,ELONBLUZELLE,Honeypot,BSC,
1968,SUNMOON,Honeypot,BSC,
1969,Untouchable,Honeypot,BSC,
1970,APEMOONv2,Honeypot,BSC,
1971,Star Shot,Honeypot,BSC,
1972,Milkyway,Honeypot,BSC,
1973,Safe Nintendo,Honeypot,BSC,
1974,Unstoppable,Honeypot,BSC,
1975,fairy.finance,Honeypot,BSC,
1976,lollipop,Honeypot,BSC,
1977,FairCat,Honeypot,BSC,
1978,Rainicorn,Honeypot,BSC,
1979,MoonNaSa,Honeypot,BSC,
1980,MoonDeFi,Honeypot,BSC,
1981,SheepSwap.Finance,Exit Scam,BSC,
1982,Elon Protocol,Honeypot,BSC,
1983,Shyft Network,Honeypot,ETH,
1984,Tidal Finance,Honeypot,ETH,
1985,BrunoMars,Honeypot,BSC,
1986,Lepricon,Honeypot,ETH,
1987,SafePancake,Honeypot,BSC,
1988,Oddz Finance,Honeypot,BSC,
1989,Dafi Protocol,Honeypot,ETH,
1990,MHP88,Honeypot,BSC,
1991,MOON WEED,Honeypot,BSC,
1992,Icecream,Honeypot,BSC,
1993,SafePizza,Honeypot,BSC,
1994,NFTMarketplace,Honeypot,BSC,
1995,STRONGMARS,Honeypot,BSC,
1996,PegasusCoin,Honeypot,BSC,
1997,Goku,Honeypot,BSC,
1998,ProStarter,Honeypot,ETH,
1999,TAXIfinance,Honeypot,BSC,
2000,BLUEHYPER,Honeypot,BSC,
2001,safeape,Honeypot,ETH,
2002,Safe-inu,Honeypot,ETH,
2003,lightningshib.com,Honeypot,ETH,
2004,VeChain,Honeypot,BSC,
2005,frozenolaf.com,Honeypot,ETH,
2006,Scaleswap,Honeypot,ETH,
2007,Whackd,Honeypot,ETH,
2008,Baby Doge Coin,Honeypot,ETH,
2009,Efinity Token,Honeypot,ETH,
2010,AurataGoldCat,Honeypot,BSC,
2011,SlimShady,Honeypot,BSC,
2012,Shiba King,Honeypot,BSC,04.10.2021
2013,BlockVest,Honeypot,ETH,04.10.2021
2014,Blockchain Terminal Token,Honeypot,ETH,04.10.2021
2015,Qubicle,Honeypot,ETH,04.10.2021
2016,ABTC,Honeypot,ETH,04.10.2021
2017,ACO,Honeypot,ETH,04.10.2021
2018,BlockChain of Things,Exit Scam,ETH,04.10.2021
2019,Coinseed Token,Honeypot,ETH,04.10.2021
2020,RGL,Exit Scam,ETH,04.10.2021
2021,bitqyM,Exit Scam,ETH,
2022,Bitcoiin,Exit Scam,ETH,
2023,OpportyToken,Exit Scam,ETH,04.10.2021
2024,Fantasy Market Token,Exit Scam,ETH,
2025,Boon Tech,Exit Scam,ETH,04.10.2021
2026,DEFIstreetbets,Honeypot,BSC,
2027,MEMEKiller,Honeypot,BSC,04.10.2021
2028,DAOstreetbets,Honeypot,BSC,04.10.2021
2029,Alchemist,Honeypot,BSC,04.10.2021
2030,AK47,Honeypot,BSC,
2031,HI-DeF Swap,Honeypot,BSC,
2032,Berry Swap,Honeypot,BSC,04.10.2021
2033,xMINT BSC,Honeypot,BSC,04.10.2021
2034,WizzardSwap,Honeypot,BSC,04.10.2021
2035,RobotSwap,Honeypot,BSC,
2036,OxSocks,Honeypot,BSC,
2037,NinjaPants,Honeypot,BSC,
2038,Safari.Yield Finance,Honeypot,BSC,04.10.2021
2039,PepeSocks,Honeypot,BSC,
2040,Slime.Finance,Honeypot,BSC,29.09.2021
2041,Dark.Build,Honeypot,BSC,29.09.2021
2042,Lizard finance,Honeypot,BSC,29.09.2021
2043,DoggySwap,Honeypot,BSC,29.09.2021
2044,RapidSwap,Honeypot,BSC,29.09.2021
2045,Channels,Honeypot,BSC,
2046,GAMESTOP,Honeypot,BSC,29.09.2021
2047,Paint,Honeypot,BSC,29.09.2021
2048,DiamondBalls,Honeypot,BSC,29.09.2021
2049,Kylin Network,Honeypot,ETH,21.09.2021
2050,PepsiSwap,Honeypot,BSC,
2051,InfinitySwap,Honeypot,BSC,21.09.2021
2052,PROJECTX,Honeypot,BSC,21.09.2021
2053,YodaCoin,Honeypot,BSC,
2054,BIGBLACKDICK,Honeypot,BSC,
2055,ShibaSwap,Honeypot,BSC,21.09.2021
2056,Mask.io,Honeypot,ETH,21.09.2021
2057,GodzillaFinance,Honeypot,BSC,
2058,CHINASWAP,Honeypot,BSC,
2059,KodakSwap,Honeypot,BSC,
2060,PussySwap,Honeypot,BSC,
2061,sixpackfinance.org,Honeypot,BSC,21.09.2021
2062,CostcoSwap,Honeypot,BSC,
2063,SexySwap,Honeypot,BSC,
2064,FREEPARKING,Honeypot,BSC,
2065,ShareDeFi Protocol,Honeypot,BSC,21.09.2021
2066,JumanjiSwap,Honeypot,BSC,21.09.2021
2067,Playcent,Honeypot,BSC,21.09.2021
2068,SteadyGainz,Honeypot,BSC,
2069,SilentSwap.Finance,Honeypot,BSC,21.09.2021
2070,ToySwap.Finance,Honeypot,BSC,
2071,MEDUZA TOKEN,Honeypot,BSC,21.09.2021
2072,Bee-Swap.org,Honeypot,BSC,21.09.2021
2073,YCoin,Honeypot,BSC,
2074,CaliSwap,Honeypot,BSC,
2075,MoonFintech,Honeypot,BSC,
2076,Gate Finance,Honeypot,BSC,21.09.2021
2077,CSSWAP,Honeypot,BSC,21.09.2021
2078,Raydium Protocol,Honeypot,BSC,21.09.2021
2079,Dark Comics NFT,Honeypot,ETH,
2080,VibeSwap,Honeypot,BSC,20.09.2021
2081,Photosynthesis,Honeypot,BSC,
2082,ZELDASWAP,Honeypot,BSC,
2083,BubbleSwap,Honeypot,BSC,
2084,dorgDAO,Honeypot,BSC,20.09.2021
2085,WARONRUGS,Honeypot,BSC,20.09.2021
2086,shadownite.com,Honeypot,BSC,
2087,Rocket Vault,Honeypot,ETH,20.09.2021
2088,PicaMoon,Honeypot,BSC,
2089,GangBang,Honeypot,BSC,
2090,SAFEBORN,Honeypot,BSC,
2091,ROCKETSHOT,Honeypot,BSC,
2092,Deflagration,Honeypot,BSC,
2093,Telcoin,Honeypot,BSC,20.09.2021
2094,MoonGold,Honeypot,BSC,20.09.2021
2095,MarsHistory,Honeypot,BSC,
2096,DATAMOON,Honeypot,BSC,
2097,MoonRoad,Honeypot,BSC,
2098,HappyMoon,Honeypot,BSC,20.09.2021
2099,SAFEGOLD,Honeypot,BSC,20.09.2021
2100,SafeLuxury,Honeypot,BSC,
2101,MOONMOON,Honeypot,BSC,20.09.2021
2102,SafePlatinum,Honeypot,BSC,
2103,Franklin,Honeypot,ETH,20.09.2021
2104,ProtonFinance,Honeypot,BSC,20.09.2021
2105,SafeGasfees,Honeypot,BSC,
2106,Fairmoon,Honeypot,BSC,20.09.2021
2107,YES Token,Honeypot,BSC,20.09.2021
2108,Uga Uga,Honeypot,BSC,
2109,Rao Token,Honeypot,ETH,20.09.2021
2110,SuperTesla,Honeypot,BSC,
2111,FairMoonElon,Honeypot,BSC,20.09.2021
2112,KINGMARS,Honeypot,BSC,
2113,Beyond Finance,Honeypot,ETH,20.09.2021
2114,Flamingo Boys,Honeypot,ETH,20.09.2021
2115,DRACULA PROJECT,Honeypot,BSC,20.09.2021
2116,Tequila,Honeypot,BSC,
2117,Moon Rat Token,Honeypot,BSC,20.09.2021
2118,BRONZE MOON,Honeypot,BSC,
2119,Meteor,Honeypot,BSC,
2120,JetCombat,Honeypot,BSC,
2121,Flashbots Token,Honeypot,ETH,
2122,Dopex Governance Token,Honeypot,ETH,14.09.2021
2123,Karma,Honeypot,BSC,14.09.2021
2124,Polkasol,Honeypot,ETH,14.09.2021
2125,1 Million Token,Honeypot,BSC,14.09.2021
2126,Maelstrom,Honeypot,BSC,14.09.2021
2127,darwin.finance,Honeypot,ETH,14.09.2021
2128,Enceladus,Honeypot,BSC,14.09.2021
2129,Elon Musk Fomo,Honeypot,BSC,
2130,Bichon,Honeypot,BSC,14.09.2021
2131,MickeyMars,Honeypot,BSC,
2132,MoonQueen,Honeypot,BSC,14.09.2021
2133,Glacier,Honeypot,BSC,
2134,HYPERIONMOON,Honeypot,BSC,14.09.2021
2135,SAFE CHARIZARD,Honeypot,BSC,14.09.2021
2136,Bongo Cat,Honeypot,BSC,14.09.2021
2137,CaptainJackFans,Honeypot,BSC,14.09.2021
2138,Space Raven,Honeypot,ETH,
2139,TITANMOON,Honeypot,BSC,13.09.2021
2140,SAFEDUCK,Honeypot,BSC,
2141,MOONSEASON,Honeypot,BSC,
2142,RAMBBO Finance,Honeypot,BSC,13.09.2021
2143,EasyFinance,Honeypot,BSC,13.09.2021
2144,MoonElevator,Honeypot,BSC,
2145,MOONTOKEN,Honeypot,BSC,
2146,simpsonsidlegame,Honeypot,BSC,
2147,StarCat,Honeypot,BSC,
2148,SUPPLYSWAP,Honeypot,BSC,
2149,SafeCheese,Honeypot,BSC,
2150,LegendaryDOGE,Honeypot,BSC,
2151,SafeCookie,Honeypot,BSC,
2152,BSCView,Honeypot,BSC,
2153,TWILIGHT,Honeypot,BSC,
2154,otmproject,Honeypot,BSC,
2155,ApeShiba,Honeypot,BSC,
2156,Zombie Swap,Honeypot,BSC,
2157,ECOMI,Honeypot,BSC,
2158,EIFEL.Finance,Honeypot,BSC,
2159,BenzSwap,Honeypot,BSC,
2160,Pro Coin,Exit Scam,BSC,
2161,Moozicore,Exit Scam,ETH,
2162,Munchee Token,Exit Scam,ETH,
2163,Oyster Akoya,Exit Scam,ETH,
2164,MOONRIKVIP,Honeypot,BSC,
2165,GoldCoin,Honeypot,BSC,
2166,GoldMoon,Honeypot,BSC,
2167,SafeJoker,Honeypot,BSC,
2168,ciao.finance,Honeypot,BSC,
2169,Snowflake,Honeypot,BSC,
2170,EUROTRIP,Honeypot,BSC,
2171,XTRA Protocol,Honeypot,ETH,
2172,Garbage Disposal,Honeypot,BSC,
2173,MoonFox,Honeypot,BSC,
2174,beans.farm,Honeypot,BSC,
2175,SafeTechnology,Honeypot,BSC,
2176,SAFEFOOD,Honeypot,BSC,
2177,BattlePets,Honeypot,BSC,
2178,Free Britney,Honeypot,BSC,
2179,MOONROCKET,Honeypot,BSC,
2180,BABYLITE,Honeypot,BSC,
2181,SHEESH,Honeypot,BSC,
2182,DIAMOND DOGE,Honeypot,BSC,
2183,ShibaBurn,Honeypot,BSC,
2184,DOREMON INU,Honeypot,BSC,
2185,BLESS AMERICA,Honeypot,BSC,
2186,Baby Doge Moon,Honeypot,BSC,
2187,BABY PIG INU,Honeypot,BSC,
2188,SpaceXMoon,Honeypot,BSC,
2189,CatBread,Honeypot,BSC,
2190,Kishu Inu,Honeypot,BSC,
2191,MaxGoatToken,Honeypot,BSC,
2192,King Of The North Coin,Honeypot,BSC,
2193,PenNFT,Honeypot,BSC,
2194,BabyElonDoo,Honeypot,BSC,
2195,Diamond hand,Honeypot,BSC,
2196,Katana,Honeypot,BSC,
2197,BSCSportsBet,Honeypot,BSC,
2198,DogeMilf,Honeypot,BSC,
2199,Safe Litecoin,Honeypot,BSC,
2200,Ape Inn,Honeypot,BSC,
2201,MorningStar Dream,Honeypot,BSC,
2202,UNITYtoken,Honeypot,BSC,08.09.2021
2203,Step.finance,Honeypot,ETH,08.09.2021
2204,Constellation,Honeypot,BSC,08.09.2021
2205,ElonProtocol,Honeypot,BSC,08.09.2021
2206,SafeBinance,Honeypot,BSC,08.09.2021
2207,Milky Way,Honeypot,BSC,08.09.2021
2208,FairSatoshi,Honeypot,BSC,
2209,Turtle In Space,Honeypot,BSC,
2210,SafeCash,Honeypot,BSC,08.09.2021
2211,FairRocket,Honeypot,BSC,08.09.2021
2212,StrongCroac,Honeypot,BSC,
2213,Cassiopeia,Honeypot,BSC,
2214,SafeWaifu,Honeypot,BSC,
2215,FairElon,Honeypot,BSC,
2216,SafeCompound,Honeypot,BSC,02.09.2021
2217,element.fi,Honeypot,ETH,02.09.2021
2218,Symbol,Honeypot,BSC,02.09.2021
2219,Palm.io,Honeypot,ETH,02.09.2021
2220,Toko Token,Honeypot,BSC,02.09.2021
2221,Orion,Honeypot,BSC,02.09.2021
2222,Goldfinch Finance,Honeypot,ETH,02.09.2021
2223,Gains Associates,Honeypot,ETH,02.09.2021
2224,Helios Project,Honeypot,BSC,02.09.2021
2225,PotionBrew.net,Honeypot,BSC,02.09.2021
2226,Findora,Honeypot,ETH,02.09.2021
2227,Pulse,Honeypot,BSC,02.09.2021
2228,SafeAtmosphere,Honeypot,BSC,
2229,SHINGEKINOTOKEN,Honeypot,BSC,02.09.2021
2230,KitKat,Honeypot,BSC,02.09.2021
2231,ElonTech,Honeypot,BSC,02.09.2021
2232,Interstellar,Honeypot,BSC,02.09.2021
2233,TigerSwap,Honeypot,ETH,02.09.2021
2234,Neutron Network,Honeypot,BSC,02.09.2021
2235,y.at,Honeypot,ETH,
2236,FORCE,Honeypot,ETH,
2237,Xcademy Token,Honeypot,ETH,02.09.2021
2238,CUATROtoken,Honeypot,BSC,
2239,SuperSwap,Honeypot,ETH,02.09.2021
2240,Iced Tea Token,Honeypot,BSC,
2241,HiBNB,Honeypot,BSC,
2242,Totoro,Honeypot,BSC,
2243,AI Farm,Honeypot,BSC,
2244,Kattana Trade,Honeypot,ETH,02.09.2021
2245,LARP,Exit Scam,ETH,
2246,Sashimi swap,Exit Scam,POLYGON,31.08.2021
2247,RooSwap,Exit Scam,BSC,31.08.2021
2248,Aubergine Farm,Exit Scam,BSC,
2249,LanternSwap,Exit Scam,POLYGON,31.08.2021
2250,PitbullSwap,Exit Scam,BSC,31.08.2021
2251,XAN Swap,Exit Scam,POLYGON,31.08.2021
2252,Starfall Finance,Exit Scam,BSC,31.08.2021
2253,PolySphere,Exit Scam,POLYGON,31.08.2021
2254,Hawk Finance,Exit Scam,POLYGON,31.08.2021
2255,PolyHorse Finance,Exit Scam,POLYGON,31.08.2021
2256,Hamster Farm,Exit Scam,POLYGON,31.08.2021
2257,LayerFarm,Exit Scam,POLYGON,31.08.2021
2258,koroswap finance,Exit Scam,BSC,31.08.2021
2259,DonaldSwap,Exit Scam,BSC,31.08.2021
2260,Flamingo Lagoon,Exit Scam,POLYGON,31.08.2021
2261,NutPie,Exit Scam,BSC,31.08.2021
2262,WeedSwap,Exit Scam,POLYGON,31.08.2021
2263,MewMegaX Token,Exit Scam,BSC,31.08.2021
2264,Cat.Moji Swap,Exit Scam,BSC,31.08.2021
2265,rabbitfarm.finance,Exit Scam,BSC,31.08.2021
2266,RoboBuddy,Exit Scam,BSC,31.08.2021
2267,Mew,Exit Scam,BSC,31.08.2021
2268,Mew Two,Exit Scam,BSC,31.08.2021
2269,Farm Ninja,Exit Scam,POLYGON,31.08.2021
2270,Cupcake Defi,Exit Scam,BSC,31.08.2021
2271,Gameboy Finance,Exit Scam,POLYGON,31.08.2021
2272,PuffinSwap,Exit Scam,BSC,31.08.2021
2273,Secura Finance,Exit Scam,BSC,31.08.2021
2274,Hammy Finance,Exit Scam,BSC,31.08.2021
2275,Hamster Swap,Exit Scam,BSC,31.08.2021
2276,PolyMiner,Exit Scam,POLYGON,31.08.2021
2277,PolyMinecraft,Exit Scam,POLYGON,31.08.2021
2278,NoMoreDogs,Exit Scam,BSC,31.08.2021
2279,JoeBiden Finance,Exit Scam,KuCoin,
2280,DonutDeFi,Exit Scam,BSC,31.08.2021
2281,KuCat Finance,Exit Scam,KuCoin,
2282,Predator Swap,Exit Scam,BSC,31.08.2021
2283,Ailuropodinae,Exit Scam,BSC,31.08.2021
2284,UNIRON Finance,Exit Scam,FANTOM,
2285,PolyCloud,Exit Scam,POLYGON,30.08.2021
2286,PolyGorilla,Exit Scam,POLYGON,30.08.2021
2287,PolyGarden,Exit Scam,POLYGON,30.08.2021
2288,Night Wolf,Exit Scam,BSC,30.08.2021
2289,Himalaya,Honeypot,BSC,13.09.2021
2290,Dragon Farm,Honeypot,ETH,13.09.2021
2291,Xerex Decentralizing,Honeypot,ETH,
2292,Matterhorn,Honeypot,BSC,13.09.2021
2293,SAFEORACLE,Honeypot,BSC,
2294,FractionalArt,Honeypot,ETH,13.09.2021
2295,MoonBanana,Honeypot,BSC,
2296,MOONSUN,Honeypot,BSC,
2297,Alphr.Finance,Honeypot,ETH,13.09.2021
2298,EPNS Token,Honeypot,ETH,13.09.2021
2299,Polkadex,Honeypot,ETH,13.09.2021
2300,HEROMOON,Honeypot,BSC,
2301,PLANET,Honeypot,ETH,13.09.2021
2302,Genesis Shards,Honeypot,ETH,13.09.2021
2303,MoonDog,Honeypot,BSC,13.09.2021
2304,YellowRoad,Honeypot,ETH,13.09.2021
2305,Zion,Honeypot,BSC,13.09.2021
2306,ORAO Network,Honeypot,ETH,13.09.2021
2307,eGRID,Honeypot,BSC,
2308,Koala Forest,Honeypot,ETH,13.09.2021
2309,Blockchain Kittens,Honeypot,ETH,
2310,Treasure Chest,Honeypot,ETH,13.09.2021
2311,World of Winners,Honeypot,ETH,13.09.2021
2312,SupremeBSCmoon,Honeypot,BSC,10.09.2021
2313,Party Token,Honeypot,ETH,
2314,Horny Farm,Honeypot,ETH,10.09.2021
2315,Space Typhoon,Honeypot,BSC,
2316,Pandora Box,Honeypot,ETH,
2317,PiggyBank Community Token,Honeypot,ETH,10.09.2021
2318,FairSafeApe,Honeypot,BSC,10.09.2021
2319,SAFEMOUSE,Honeypot,BSC,
2320,Planet Nine,Honeypot,BSC,
2321,GODZILLA,Honeypot,BSC,10.09.2021
2322,MarkMineCoin,Honeypot,BSC,
2323,vsafinance.com,Exit Scam,ETH,
2324,VSJEFF FIGHT,Exit Scam,BSC,
2325,PePe Coin,Exit Scam,BSC,10.09.2021
2326,RockHard,Honeypot,BSC,
2327,Ebuy Finance,Honeypot,BSC,
2328,StaticFire,Honeypot,BSC,10.09.2021
2329,DonaldPump,Honeypot,BSC,10.09.2021
2330,Torio,Honeypot,BSC,
2331,ElonSperm,Honeypot,BSC,10.09.2021
2332,Foxydoge,Honeypot,BSC,10.09.2021
2333,ElonDoge,Honeypot,BSC,10.09.2021
2334,NFTChange Token,Honeypot,BSC,
2335,Blue Lightning,Honeypot,BSC,10.09.2021
2336,Shelter,Honeypot,BSC,
2337,DoubtFire,Honeypot,BSC,
2338,DragonFinance10000x,Honeypot,BSC,10.09.2021
2339,MentalHealth,Honeypot,BSC,10.09.2021
2340,Pitbull Classic,Honeypot,BSC,10.09.2021
2341,Centra,Exit Scam,ETH,10.09.2021
2342,EOS,Exit Scam,ETH,10.09.2021
2343,Bezop,Exit Scam,ETH,10.09.2021
2344,Wazir Farm,Honeypot,ETH,10.09.2021
2345,NftFinal,Honeypot,BSC,
2346,Betelgeuse,Honeypot,BSC,
2347,MechaGodzilla,Honeypot,BSC,10.09.2021
2348,BirdSwap,Honeypot,ETH,10.09.2021
2349,Kattana,Honeypot,ETH,10.09.2021
2350,Arsenal FC Fan Token,Honeypot,BSC,10.09.2021
2351,BSCx500,Honeypot,BSC,09.09.2021
2352,SafeCoinToken,Honeypot,BSC,09.09.2021
2353,AntiWOR,Honeypot,BSC,
2354,Alpha Andromedae,Honeypot,BSC,09.09.2021
2355,SafeDream,Honeypot,BSC,09.09.2021
2356,FLEX,Honeypot,BSC,09.09.2021
2357,MoonSafebank,Honeypot,BSC,09.09.2021
2358,Dolphins Paradise Token,Honeypot,ETH,
2359,Supernova,Honeypot,BSC,09.09.2021
2360,Sunset,Honeypot,BSC,
2361,FAPE,Honeypot,BSC,
2362,Southern Cross,Honeypot,BSC,
2363,Crowny.io,Honeypot,ETH,09.09.2021
2364,MoonTerra,Honeypot,BSC,09.09.2021
2365,Safe Gravity,Honeypot,BSC,
2366,Clover.finance,Honeypot,ETH,09.09.2021
2367,SolaSystem,Honeypot,ETH,09.09.2021
2368,Safe Planet 9,Honeypot,BSC,09.09.2021
2369,JUSTMOON,Honeypot,BSC,09.09.2021
2370,Quagmire,Honeypot,BSC,
2371,FairPluto,Honeypot,BSC,
2372,MoonPilot,Honeypot,BSC,09.09.2021
2373,Yoda Token,Honeypot,BSC,09.09.2021
2374,geckoswap.finance,Honeypot,BSC,09.09.2021
2375,Setting Sun,Honeypot,BSC,09.09.2021
2376,Voltage,Honeypot,BSC,
2377,APEMARS Token,Honeypot,BSC,09.09.2021
2378,AVG1000X,Honeypot,BSC,
2379,MoonPlan,Honeypot,BSC,
2380,Eclipse,Honeypot,BSC,09.09.2021
2381,GAMEE,Honeypot,ETH,09.09.2021
2382,HOGtoken,Honeypot,BSC,09.09.2021
2383,Genix.finance,Honeypot,BSC,09.09.2021
2384,Fair Prison,Honeypot,BSC,
2385,TeamRocket,Honeypot,BSC,09.09.2021
2386,Duke Nukem,Honeypot,BSC,09.09.2021
2387,Shining Star,Honeypot,BSC,09.09.2021
2388,BEZEL Token,Honeypot,BSC,
2389,Safe Fortune,Honeypot,BSC,09.09.2021
2390,Avengers NFT,Honeypot,ETH,09.09.2021
2391,Chihuahua Taco,Honeypot,BSC,08.09.2021
2392,Hurricane,Honeypot,BSC,08.09.2021
2393,FairVenus,Honeypot,BSC,08.09.2021
2394,JUGtoken,Honeypot,BSC,
2395,Kong Coin,Honeypot,BSC,08.09.2021
2396,Safe Jail,Honeypot,BSC,
2397,Aragorn,Honeypot,BSC,08.09.2021
2398,FairETH,Honeypot,BSC,08.09.2021
2399,FairComet,Honeypot,BSC,
2400,Red Rose Finance,Exit Scam,BSC,15.08.2021
2401,0xNinja,Exit Scam,POLYGON,14.08.2021
2402,Rimau Finance,Exit Scam,BSC,12.08.2021
2403,Happy Frog Finance,Exit Scam,BSC,12.08.2021
2404,VIVAToken,Exit Scam,BSC,09.08.2021
2405,Photon-Swap,Exit Scam,BSC,08.08.2021
2406,PolyMind,Exit Scam,POLYGON,11.08.2021
2407,BeaverSwap.finance,Exit Scam,BSC,08.08.2021
2408,Yoshi Defi,Exit Scam,POLYGON,10.08.2021
2409,Planetswap Uranus,Exit Scam,POLYGON,05.08.2021
2410,Corgi Finance,Exit Scam,POLYGON,03.08.2021
2411,YFARM,Exit Scam,ETH,14.08.2021
2412,Pirate Farm,Exit Scam,BSC,16.08.2021
2413,Iron Finance (2),Bank Run,POLYGON,16.06.2021
2414,Polysafemoon,Exit Scam,POLYGON,03.09.2021
2415,Pikachu Swap,Exit Scam,ETH,03.09.2021
2416,Fire Swap,Exit Scam,BSC,03.09.2021
2417,PolyApe Token,Exit Scam,POLYGON,03.09.2021
2418,Golden Bar Farm,Exit Scam,BSC,03.09.2021
2419,Fisherman Finance,Exit Scam,BSC,03.09.2021
2420,Stonks Token,Exit Scam,BSC,03.09.2021
2421,Rapture,Exit Scam,POLYGON,03.09.2021
2422,BabyCakeGold,Exit Scam,BSC,03.09.2021
2423,Sigma,Exit Scam,POLYGON,03.09.2021
2424,White Moon Finance,Exit Scam,BSC,06.09.2021
2425,TreeToken,Exit Scam,POLYGON,06.09.2021
2426,HarvestLock,Exit Scam,BSC,06.09.2021
2427,Red Eagle Token,Exit Scam,BSC,06.09.2021
2428,Cheetah Token,Exit Scam,POLYGON,06.09.2021
2429,PolyGoose Token,Exit Scam,POLYGON,06.09.2021
2430,Euro Token,Exit Scam,POLYGON,06.09.2021
2431,Valorant Finance,Exit Scam,BSC,06.09.2021
2432,BeastMode Token,Exit Scam,BSC,06.09.2021
2433,Swaaaaap.com,Exit Scam,BSC,06.09.2021
2434,White Moon Finance,Exit Scam,BSC,07.09.2021
2435,MoneyTreeFarm,Exit Scam,POLYGON,07.09.2021
2436,Gold Finance,Exit Scam,BSC,10.09.2021
2437,TrollFace,Exit Scam,BSC,13.09.2021
2438,GulliFinance,Exit Scam,POLYGON,15.09.2021
2439,Earth DeFi Avalanche,Exit Scam,AVAX,15.09.2021
2440,BloodySwap,Exit Scam,POLYGON,15.09.2021
2441,MikuMilk Finance,Exit Scam,AVAX,16.09.2021
2442,GullFinance Token,Exit Scam,POLYGON,16.09.2021
2443,INTERSWAP,Exit Scam,BSC,20.09.2021
2444,PenginFinance Token,Exit Scam,BSC,20.09.2021
2445,PlugToken,Exit Scam,POLYGON,20.09.2021
2446,CoffeeSwap Arbitrum,Exit Scam,ETH,22.09.2021
2447,PolyHomerToken,Exit Scam,POLYGON,27.09.2021
2448,PolyMountain,Exit Scam,POLYGON,27.09.2021
